Name,EVS ID,Histology,Do not code,Remarks,Alternate Name,Primary Site,Abbreviation,NSC number,Category,Sub-category
"1,25-Dihydroxyvitamin D3",,,YES,Differentiation Inducing Agent; Vitamin,Calcijex;Calcitrol;Di-Vit-Sol;Multi-M;Rocatrol;Tolerex;Vivonex T.E.N.,,,,Differentiation inducing agent,
1-Methyl-D-tryptophan,,,NO,This agent is being studied in the treatment of melanoma and many other types of cancers. Code in Other Therapy field until FDA approval.,,"Melanoma;Other types, NOS",,,Chemotherapy,Enzyme inhibitor
1018-ISS,,,NO,"As of March 2015, this drug is still in clinical trials for various neoplasms as well as hepatitis viruses.",ISS 1018 CpG oligodeoxynucleotide,Lymphoma,,,Chemotherapy,Targeted therapy--antisense
109881,,,NO,"RPR 109881 is a substance that  is being studied in the treatment of cancer. It belongs to the family of drugs called taxanes. As of March 2015, it has not received FDA approval for use in cancer treatment and is not currently in clinical trials. ",RPR-109881;RPR-109881A;taxoid 109881,Brain cancer,,,Chemotherapy,Natural product--taxane
131I-MIBG,,"pheochromocytoma, paraganglioma, neuroblastoma",SEE_REMARKS,"Do NOT code if given as a radioisotope for scanning purposes. Code if stated to be given to treat/kill cancer cells.  

locally advanced or metastatic pheochromocytoma or paraganglioma",I131 metaiodobenzylguanidine,,,,Radiation,Radioisotope
131I-TM-601,,,NO,The drug is tumor specific to malignant glioma of the brain.  It is administered intravenously to provide tumor-specific localization (via radiographic imaging) in patients with recurrent or refractory primary solid tumors with evidence of metastatic involvement. ,Iodine I 131 TM-601,Glioma,,,Radiation,Immunotoxin conjugated with radiation (radioisotope)
17-DMAG,,,NO,Phase I solid tumors 2007 Binds to heat-shock protein 90. Information from NCI,,Solid tumors,,707545,Chemotherapy,Targeted therapy--heat shock protein 90 inhibitor
"2,4-Dinitrochlorobenzene",,,NO,"Has been used as an immunostimulant in leprosy, AIDS, and some forms of cancer and in the treatment of alopecia and warts.",,AIDS;being studied in Melanoma (EORTC-18851);Opportunistic infection,DNCB,,"Biologic therapy (BRM, immunotherapy)",
2-Alizapride Hydrochloride,,,YES,"Anti-emetic agent; demonstrated relatively poor antiemetic activity in cancer patients receiving strongly emetogenic chemo., and offers no advantage over other effective antiemetic agents",,,,,Ancillary Agent,
2B1 bispecific murine MAb,,,NO,Phase II Bi-specific Monoclonal antibody. NCI. (bsAb 2B1 targets the extracellular domains (ECD) of the HER2/neu protooncogene product and the human FcgammaRIII (CD16).,"2B1;2B1 antibody, bispecific",Breast cancer;Ovarian cancer,,673928,"Biologic therapy (BRM, immunotherapy)",Passive monoclonal antibody
4'-Hydroperoxycyclophosphamide,,,NO,Phase I/Phase II Used for purging of bone marrow for acute myeloid leukemia prior to autologus bone marrow transplant,,AML;Breast,4-HC,,"Biologic therapy (BRM, immunotherapy)",
4-Hydroxyphenyl retinamide,,,NO,Retinoid,Fenretinide,Kaposi's sarcoma;breast,4-HPR,,Differentiation inducing agent,
4-Nitroestrone,,,NO,Affects the aromatization process in converting androstinedione into estrone. Antitumor activity comparable to that of tamoxifen and nafoxidine. NCI.,,Breast,,321803,Hormones and hormonal mechanisms,Estrogen
5'-Inosinic acid polymers,,,NO,,Poly(rI).poly(rC),,Poly I:C,120949,"Biologic therapy (BRM, immunotherapy)",
5-Aza-2'Deoxy-cytidine,,,NO,,Decytabine,CML,DAC,,Chemotherapy,Cytostatic agent--DNA methyl transferase inhibitor
5-FP,,,NO,Oral 5-FU prodrug that is converted in the liver to the active 5-FU.,5-fluoro-Pyrimidinone,Breast;gastric;head & neck;liver cancer,,,Chemotherapy,Antimetabolite
5-fluoro-2-deoxycytidine,,,NO,A substance being studied in the treatment of some types of cancer. It may prevent the growth of tumors by stopping cancer cells from dividing and by killing them. It is a type of anti-metabolite.,,Advanced solid tumors,5FD;FdCyd,48006,Chemotherapy,Antimetabolite
566C80,,,YES,Treatment IND Pneumocystis in AIDS pts who do not respond to conventional treatment,,Pneumocystis,,,AIDS drug,
6-Azuridine,,,NO,,6-Azauridine;6-Azur;Azauridine;Ribo-azauracil;Ribo-azuracil;Riboazuracil,,AzUR,32074,Chemotherapy,Antimetabolite
6-Diazo-5-oxo-L-norleucine,,,NO,From Shepard's: tumor inhibiting glutamine analogue. Not found in Drugdex drug evaluation.,,,DON,,Chemotherapy,Antibiotic
845 4B5,,,NO,March 2015: documentation that this drug is still being used in the treatment of cancer has not been found. Code with caution,,Head & neck;skin cancer,,,"Biologic therapy (BRM, immunotherapy)",
935U83,,,YES,Inhibits the HIV reverse transcriptase,,,,,AIDS drug,
9OY-hPAM4,,,YES,Phase I&II Do Not Code as Immunotherapy: this agent is used as a sensetizer to deliver radioisotopes,9OY-hPAM4,Pancreas,,,Other therapy,immunotherapy
A 80967,,,YES,,,,,,AIDS drug,
A-77003,,,YES,,,,,,AIDS drug,
ABT 888,,,NO,Dec. 2013: received FDA approval to treat patients with advanced ovarian cancer. this drug is also in clinical trials for metastatic unresectable solid tumors and Non-Hodgkin lymphoma. ,Veliparib,Ovary,,,Chemotherapy,PARP Inhibitor
ABT-510,,,NO,"As of March 2015, this drug has not received FDA approval and numerous clinical trials did not demonstrate definite clinical efficacy. ",,Liver;other cancer,,,Chemotherapy,Cytostatic agent--antiangiogenic agent
ABT-518,,,YES,"As of March 2015, the manufacturer has stopped all clinical trials. 

.",,Other cancer,,,Chemotherapy,Inhibitor--matrix metalloproteinase/antimitotic agent
ABT-546,,,YES,"As of March 2015, this drug has not received FDA approval and it is not in any clinical trials for use in treating cancers. ",,Other cancer,,,Chemotherapy,Cytostatic agent--enodthelin receptor antagonist
ABT-751,,,NO,"Phase II ALL, neuroblatoma Tubulin antagonist (tubulin binding agent). Abbott Laboratories.",ABT 751;ABT751,neuroblastoma;Pediatric ALL,,,Chemotherapy,Cytostatic agent--tubulin binding agent
